participant,session,age,"female=""1""",faceTesting,race,isFamous,orientation,oldnew,testkeys.keys,testkeys.rt,faceAsking,correctOption,familiarnessKeys.keys
9459,2,24,1,,,,,,,,images2/image11.jpeg,3,3
9459,2,24,1,,,,,,,,images2/image2.png,1,1
9459,2,24,1,,,,,,,,images2/image37.png,1,1
9459,2,24,1,,,,,,,,images2/image12.jpeg,2,2
9459,2,24,1,,,,,,,,images2/image46.png,1,1
9459,2,24,1,,,,,,,,images2/image20.png,4,3
9459,2,24,1,,,,,,,,images2/image34.png,2,2
9459,2,24,1,,,,,,,,images2/image43.png,1,1
9459,2,24,1,,,,,,,,images2/image33.png,2,2
9459,2,24,1,,,,,,,,images2/image42.png,2,2
9459,2,24,1,,,,,,,,images2/image36.png,1,1
9459,2,24,1,,,,,,,,images2/image40.png,1,1
9459,2,24,1,,,,,,,,images2/image39.png,2,2
9459,2,24,1,,,,,,,,images2/image25.jpg,4,4
9459,2,24,1,,,,,,,,images2/image13.png,2,2
9459,2,24,1,,,,,,,,images2/image14.png,2,2
9459,2,24,1,,,,,,,,images2/image9.jpeg,2,2
9459,2,24,1,,,,,,,,images2/image18.png,4,4
9459,2,24,1,,,,,,,,images2/image15.png,2,2
9459,2,24,1,,,,,,,,images2/image48.jpeg,2,2
9459,2,24,1,,,,,,,,images2/image5.jpeg,2,2
9459,2,24,1,,,,,,,,images2/image6.png,2,2
9459,2,24,1,,,,,,,,images2/image38.png,3,3
9459,2,24,1,,,,,,,,images2/image7.png,1,1
9459,2,24,1,,,,,,,,images2/image44.png,2,2
9459,2,24,1,,,,,,,,images2/image1.png,1,1
9459,2,24,1,,,,,,,,images2/image41.png,2,2
9459,2,24,1,,,,,,,,images2/image35.png,3,3
9459,2,24,1,,,,,,,,images2/image45.png,2,2
9459,2,24,1,,,,,,,,images2/image4.jpeg,1,1
9459,2,24,1,,,,,,,,images2/image16.png,2,2
9459,2,24,1,,,,,,,,,,
